,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
359,CYRX,"Cryoport, Inc.",798.11M,-10.37%,592349,236.35M
360,SPLP,Steel Partners Holdings L.P.,797.69M,-,2203,1.91B
361,BBSI,"Barrett Business Services, Inc.",793.82M,-0.24%,10380,1.07B
362,SWBI,"Smith & Wesson Brands, Inc.",788.35M,-0.14%,343404,521.46M
363,CECO,CECO Environmental Corp.,783.10M,1.96%,318674,544.85M
364,VVI,Viad Corp,765.93M,0.55%,13342,1.24B
365,HAYN,"Haynes International, Inc.",759.31M,0.03%,85001,604.64M
366,SNCY,"Sun Country Airlines Holdings, Inc.",739.15M,0.36%,271780,1.05B
367,DCO,Ducommun Incorporated,730.16M,0.87%,22262,756.99M
368,DXPE,"DXP Enterprises, Inc.",725.52M,4.64%,59982,1.68B
369,PBI,Pitney Bowes Inc.,718.47M,2.70%,945897,3.27B
